Date,Confirmed,Deaths,Recovered,New cases,New deaths
2020-07-10,65018,4939,29577,797,39
2020-07-11,67209,5031,30107,2191,92
2020-07-12,67870,5047,30283,661,16
2020-07-13,68459,5063,30369,589,16
2020-07-14,69570,5130,30484,1111,67
2020-07-15,70329,5158,30641,759,28
2020-07-16,71365,5207,31260,1036,49
2020-07-17,72444,5250,31404,1079,43
2020-07-18,73382,5282,31757,938,32
2020-07-19,74013,5313,31901,631,31
2020-07-20,74620,5318,31955,607,5
2020-07-21,76217,5366,32725,1597,48
2020-07-22,77257,5418,33125,1040,52
2020-07-23,78148,5439,33455,891,21
2020-07-24,79049,5468,34544,901,29
2020-07-25,80036,5507,34544,987,39
2020-07-26,80694,5515,34896,658,8
2020-07-27,81161,5532,34896,467,17
